,Country Name,Country Code,Indicator Name,Indicator Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
124,"Korea, Rep.",KOR,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,67.2440032958984,68.1620025634766,68.6569976806641,70.1839981079102,71.1699981689453,71.96099853515629,72.9810028076172,74.4879989624023,75.3889999389648,76.1549987792969,76.88800048828129,78.7080001831055,78.7929992675781,78.8730010986328,79.6699981689453,80.2880020141602,80.6510009765625,81.1289978027344,81.88800048828129,82.052001953125
125,Kuwait,KWT,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,97.16100311279301,97.0660018920898,97.22799682617192,97.2649993896484,97.23300170898442,97.4940032958984,97.52999877929692,97.64600372314449,97.427001953125,97.0230026245117,96.2099990844727,95.9810028076172,95.7639999389648,95.8629989624023,95.81500244140629,95.6240005493164,95.54299926757808,95.3509979248047,95.26599884033199,95.2389984130859
126,Latin America & Caribbean (excluding high income),LAC,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,70.49773998466151,69.87638477944179,71.4770914633877,72.0915249075099,71.0589700602309,71.6751076173735,71.8333223877089,71.88120760657391,72.9209360489275,73.7220889479443,74.25190798509401,75.15673280147591,75.78310040411999,76.20207464466841,78.1559151329126,78.96542148382599,79.037838170792,79.160572953873,79.41272128463041,79.3191843533305
127,Lao PDR,LAO,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,9.413999557495119,9.86200046539307,10.9969997406006,11.583000183105499,12.0920000076294,12.7559995651245,13.5100002288818,14.3990001678467,15.1309995651245,15.673999786377001,16.7029991149902,17.9610004425049,19.726999282836896,20.669000625610398,23.2560005187988,25.070999145507802,26.445999145507802,27.7159996032715,29.0629997253418,29.7310009002686
128,Lebanon,LBN,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,88.8570022583008,89.2959976196289,89.6729965209961,89.7880020141602,89.76000213623051,91.0250015258789,92.5410003662109,92.5410003662109,92.9029998779297,92.8929977416992,93.2360000610352,92.9599990844727,92.9990005493164,92.9509963989258,91.8050003051758,91.3629989624023,90.68099975585942,90.69000244140629,91.8030014038086,91.7639999389648
129,Liberia,LBR,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,36.8129997253418,40.6040000915527,44.8330001831055,44.2599983215332,44.08000183105471,38.7569999694824,41.5110015869141,40.61899948120121,46.8860015869141,44.2130012512207,45.0859985351563,43.084999084472706,47.0499992370605,49.076999664306605,48.076000213623,49.8250007629395,51.1049995422363,51.1629981994629,50.4160003662109,51.6609992980957
130,Libya,LBY,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,74.0380020141602,72.50599670410159,72.5120010375977,68.6149978637695,67.2089996337891,67.28399658203129,70.7269973754883,72.3610000610352,72.5439987182617,72.4440002441406,71.11399841308591,70.5009994506836,71.5550003051758,58.353000640869105,74.4800033569336,62.551998138427706,54.4650001525879,53.2760009765625,53.8639984130859,62.87300109863279
131,St. Lucia,LCA,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,69.90000152587889,71.2249984741211,71.161003112793,78.7939987182617,77.8629989624023,80.6039962768555,79.3629989624023,80.6389999389648,80.74400329589841,81.5120010375977,81.1740036010742,81.3059997558594,81.9540023803711,81.6169967651367,81.3830032348633,82.0530014038086,82.463996887207,82.55799865722659,81.9710006713867,81.6859970092773
132,Latin America & Caribbean,LCN,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,72.6148173653365,72.0623418256706,73.51573306271321,73.8922723775198,72.9734347425421,73.4372158877977,73.5888002522128,73.6418086399756,74.5606352528579,75.3080690797977,75.78506425799891,76.55729017068171,77.1860177705694,77.5632611933316,79.299043387437,80.05548136892901,80.13101799326509,80.2416365303195,80.4574438198032,80.3899982777871
133,Least developed countries: UN classification,LDC,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,14.5232046948319,14.8802386040925,15.460699794747,16.3111638244103,16.9051214459237,17.6809644987712,17.8243955998823,17.9473807068371,18.3113129697648,18.8469903094252,19.2088696967672,19.7895276188653,20.970105849844398,21.6249591466421,22.3984871933497,23.1665588337061,23.483263870888,23.8540362900438,24.329602104717804,24.797943905166303
134,Low income,LIC,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,14.1251072381511,14.4591974080915,14.888211201898,15.288642097336199,15.5594558582457,15.7070655976591,15.995565834093,16.1928707759227,16.4716057851623,16.949813721404,17.219508032146198,17.6340870550335,18.626150846031198,19.2610709235625,19.7107544183708,20.2664507057693,20.6046675105163,20.935029837571,21.2448218335019,21.5469786199961
135,Liechtenstein,LIE,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,
136,Sri Lanka,LKA,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,27.594999313354503,28.239000320434602,28.752000808715803,29.8250007629395,30.7900009155273,31.972000122070302,32.800998687744105,33.248001098632805,33.646999359130895,35.1059989929199,35.4609985351563,37.234001159668004,36.583000183105504,37.9500007629395,40.1300010681152,41.1640014648438,41.7350006103516,43.340999603271506,44.324001312255895,45.255001068115206
137,Lower middle income,LMC,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,26.1700220551023,26.805419754398304,26.667288817361804,26.9248648474576,27.133982182347196,27.3797030247821,28.355780776187302,28.6043927932324,29.9953089911874,30.7040451571557,31.7585985404843,32.8676799845463,34.3844044170768,35.5465380602738,36.740988549029105,37.3001970051086,37.9569699652081,38.705767213796896,39.670269357718,40.259966724779
138,Low & middle income,LMY,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,28.4571516634438,29.200805068418603,29.8918021573413,30.9601782890887,31.7289178632771,32.3618298000983,33.6198673226639,34.7008698507707,36.3315123336107,37.9149669566825,39.1941930087199,40.684381718962705,42.1491700658459,43.533037549433296,45.007896531005,46.147863463720896,47.303886166526496,48.4629472425139,49.3543751395779,49.899730626711204
139,Lesotho,LSO,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,35.765998840331996,25.0659999847412,33.095001220703104,40.7220001220703,48.9360008239746,52.949001312255895,57.021999359130895,60.5810012817383,59.9420013427734,61.640998840332,60.922000885009794,63.91999816894529,65.6660003662109,66.7910003662109,66.73000335693361,67.0550003051758,67.8330001831055,69.10299682617189,68.4769973754883,68.84500122070311
140,Late-demographic dividend,LTE,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,29.811636961818103,30.752634566174603,31.769562621486603,33.365004512954,34.6534165049889,35.6274686085574,37.1988809309553,38.98926811904229,41.094980850525396,43.375436769916895,45.0473508138106,47.0278935903308,48.7585246780291,50.5815981093602,52.5102358712743,54.39607353919829,56.3817397519487,58.2934376285312,59.667829305949795,60.58137340067571
141,Lithuania,LTU,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,61.051998138427706,62.5890007019043,63.826999664306605,66.0240020751953,65.5230026245117,64.0660018920898,66.7620010375977,67.73300170898439,69.197998046875,71.6559982299805,75.11399841308591,75.6740036010742,76.8990020751953,77.1449966430664,77.4919967651367,77.7119979858398,77.068000793457,76.90699768066409,78.8789978027344,79.1740036010742
142,Luxembourg,LUX,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,91.5609970092773,91.6190032958984,92.1309967041016,92.3010025024414,92.4240036010742,92.08899688720699,91.9720001220703,93.1240005493164,93.6129989624023,93.39199829101558,92.6869964599609,95.1190032958984,94.4729995727539,94.9629974365234,95.1729965209961,94.7949981689453,94.91799926757808,94.8570022583008,94.71600341796879,94.7949981689453
143,Latvia,LVA,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,63.6180000305176,67.15000152587889,68.2870025634766,69.5699996948242,72.3669967651367,71.4820022583008,72.5749969482422,74.7779998779297,75.2080001831055,76.7289962768555,76.8300018310547,78.56300354003909,80.6859970092773,80.7249984741211,81.1370010375977,81.5739974975586,82.6780014038086,82.2249984741211,81.6039962768555,81.9499969482422
144,"Macao SAR, China",MAC,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,65.7099990844727,66.0110015869141,69.55100250244139,65.7050018310547,68.681999206543,71.1389999389648,73.838996887207,76.7060012817383,81.7289962768555,85.463996887207,87.91100311279301,91.3499984741211,92.86199951171879,93.9550018310547,94.78900146484379,95.34400177001949,94.7119979858398,93.1500015258789,92.6240005493164,89.8929977416992
145,St. Martin (French part),MAF,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,
146,Morocco,MAR,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,26.7310009002686,25.2280006408691,24.7049999237061,24.7689990997314,23.8549995422363,24.4440002441406,22.7649993896484,22.673999786377,24.05299949646,25.2210006713867,25.753999710082997,25.8250007629395,26.1019992828369,26.2819995880127,27.8980007171631,29.9249992370605,30.440000534057603,29.8460006713867,30.2689990997314,30.4619998931885
147,Monaco,MCO,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,
148,Moldova,MDA,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,40.6749992370605,42.5019989013672,39.7680015563965,39.2970008850098,40.5110015869141,46.25,48.314998626709006,48.3499984741211,55.540000915527294,57.5550003051758,58.1160011291504,61.922000885009794,63.2249984741211,63.6049995422363,64.0380020141602,62.3079986572266,61.047000885009794,58.5200004577637,57.701000213623,58.202999114990206
149,Madagascar,MDG,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,14.954000473022498,15.1490001678467,15.4519996643066,15.763999938964801,14.1800003051758,14.6379995346069,15.296999931335401,15.878999710083,17.2310009002686,19.5480003356934,20.757999420165998,20.7789993286133,22.885000228881804,24.5319995880127,26.341999053955103,22.885999679565398,20.253999710083,18.162000656127898,18.4349994659424,18.3229999542236
150,Maldives,MDV,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,54.268001556396506,56.5410003662109,58.175998687744105,60.3139991760254,58.492000579834006,56.6669998168945,57.9000015258789,56.0830001831055,59.138999938964794,68.552001953125,71.3939971923828,73.786003112793,75.9710006713867,75.09300231933591,73.625,74.21299743652341,73.9029998779297,73.0439987182617,73.536003112793,73.68499755859379
151,Middle East & North Africa,MEA,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,52.43260113514749,51.8599263938951,51.1342481179714,52.7535780700805,53.8522952482805,52.5306652536616,51.041305360262896,51.663535172786595,52.2206734000523,53.0764710316214,54.0834903214997,54.554272302025794,56.3246960891444,57.2452433446581,59.229817885547895,58.1789877485266,58.5097554175434,59.0754695338465,59.7880044786965,60.1944252313278
152,Mexico,MEX,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,71.8199996948242,70.2580032348633,71.1520004272461,72.2239990234375,73.4499969482422,75.3919982910156,75.3669967651367,76.6019973754883,77.2220001220703,78.0429992675781,78.3980026245117,80.5540008544922,80.4739990234375,80.31700134277341,80.5019989013672,80.40699768066409,80.0790023803711,80.0169982910156,79.6959991455078,79.427001953125
153,Marshall Islands,MHL,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,
154,Middle income,MIC,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,29.9656786521093,30.766323134595698,31.5108247613066,32.6616714016156,33.5083969623791,34.2198964135995,35.6049509225805,36.8104688904481,38.6316146237373,40.3890437091763,41.857191569257104,43.55271477657829,45.1435324977549,46.6853533965745,48.370834302253,49.6550388215458,50.9956245733191,52.3528231578465,53.4050008625358,54.086864475288
155,"Macedonia, FYR",MKD,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,39.6069984436035,40.773998260498,46.193000793457,46.858001708984396,45.7239990234375,47.1119995117188,53.576999664306605,51.183998107910206,50.4129981994629,54.040000915527294,53.742000579834006,55.4500007629395,55.4739990234375,55.7509994506836,57.939998626709006,53.965999603271506,55.4609985351563,58.048999786377,59.180999755859396,60.25
156,Mali,MLI,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,49.9420013427734,51.568000793457,51.6139984130859,53.7350006103516,54.273998260498,56.6669998168945,56.729000091552706,53.7529983520508,50.608001708984396,48.00199890136721,44.8619995117188,41.0709991455078,38.4029998779297,35.292999267578104,30.8139991760254,29.184999465942397,27.122999191284197,32.0699996948242,32.7249984741211,37.5610008239746
157,Malta,MLT,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,75.2699966430664,76.0029983520508,74.588996887207,77.0550003051758,77.8539962768555,80.8349990844727,81.86199951171879,82.5690002441406,84.5,86.2689971923828,88.61499786376949,87.5370025634766,86.5080032348633,87.0770034790039,88.947998046875,87.927001953125,89.3160018920898,90.73999786376949,90.4710006713867,90.86199951171879
158,Myanmar,MMR,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,12.7220001220703,13.4200000762939,14.2930002212524,14.911999702453599,15.652000427246099,17.0109996795654,18.3099994659424,19.7029991149902,21.3269996643066,22.5450000762939,23.886999130249,25.3920001983643,26.6060009002686,27.9409999847412,29.6019992828369,31.472000122070302,33.2840003967285,35.24399948120121,36.2680015563965,37.611000061035206
159,Middle East & North Africa (excluding high income),MNA,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,43.7700819888563,43.4286345846214,42.5650091823351,44.3343417653473,45.66780672561621,44.200805211411705,42.6015352402012,43.1439093595524,43.41014988496679,44.5136127525801,45.334172383123104,45.695471563732994,47.0516145231725,47.709724533500605,49.727206862555,48.2947059913426,48.0889353002804,48.600354260711406,49.485150104233206,50.0101485130053
160,Montenegro,MNE,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,75.713996887207,75.609001159668,74.875,74.4810028076172,75.9169998168945,77.6009979248047,80.2330017089844,81.693000793457,82.2310028076172,81.713996887207,80.71800231933591,84.9309997558594,85.5419998168945,86.06900024414058,87.86599731445308,89.41799926757808,87.4079971313477,84.3300018310547,84.1940002441406,84.15699768066409
161,Mongolia,MNG,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,37.4389991760254,37.4949989318848,38.7029991149902,40.6889991760254,43.9990005493164,45.3479995727539,46.4080009460449,46.237998962402294,46.87300109863279,49.215999603271506,49.3660011291504,50.5390014648438,56.2350006103516,55.576000213623,54.4770011901855,58.021999359130895,60.1800003051758,60.1619987487793,59.4910011291504,59.430999755859396
162,Northern Mariana Islands,MNP,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,
163,Mozambique,MOZ,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,8.27400016784668,8.74899959564209,8.94699954986572,9.36299991607666,9.71500015258789,9.60900020599365,9.8100004196167,10.248999595642099,10.4670000076294,10.817999839782699,11.0430002212524,11.2530002593994,11.704000473022498,12.4200000762939,13.359999656677198,13.8509998321533,14.447999954223599,14.687000274658198,14.796999931335401,14.8500003814697
164,Mauritania,MRT,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,7.8979997634887695,8.201000213623049,8.21000003814697,8.26599979400635,8.38199996948242,8.69099998474121,8.92899990081787,9.42899990081787,10.0670003890991,10.4230003356934,10.458000183105499,10.468000411987301,10.7089996337891,10.8299999237061,11.2819995880127,11.4969997406006,11.7930002212524,11.9569997787476,12.0059995651245,12.3439998626709
165,Mauritius,MUS,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,45.8310012817383,46.939998626709006,47.7430000305176,51.547000885009794,54.1669998168945,56.9939994812012,60.5029983520508,62.345001220703104,64.52200317382811,66.44699859619139,67.19699859619139,68.3300018310547,71.0169982910156,72.80799865722659,73.7490005493164,76.2419967651367,76.7900009155273,77.2779998779297,77.1780014038086,77.3539962768555
166,Malawi,MWI,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,2.9590001106262203,2.94400000572205,2.87400007247925,2.8110001087188703,2.75399994850159,2.7969999313354506,2.91700005531311,2.9730000495910605,2.9839999675750697,3.1110000610351602,3.25099992752075,3.29800009727478,3.4409999847412096,3.45499992370605,3.48799991607666,3.54299998283386,3.61199998855591,3.6340000629425,3.6800000667572004,3.65499997138977
167,Malaysia,MYS,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,56.595001220703104,57.7000007629395,57.0,58.2729988098145,61.1279983520508,62.198001861572294,64.7080001831055,65.50099945068361,65.3130035400391,67.3820037841797,68.4010009765625,71.1169967651367,70.6630020141602,71.03399658203129,71.4029998779297,71.6999969482422,71.9250030517578,72.8850021362305,73.21600341796879,73.6009979248047
168,North America,NAC,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,86.3516605312824,86.6764654759999,86.8810884426178,87.69363736639929,88.47622653326651,88.7561865561855,89.0118928808139,89.318335847283,89.4914131864717,89.6301548920734,90.0568154336284,90.9513490520178,91.1286032921436,90.8134788557554,90.8077374170936,90.879013315695,90.7370785474909,90.7140695729216,90.7897713889701,90.690538838428
169,Namibia,NAM,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,56.301998138427706,61.0410003662109,64.2119979858398,63.5289993286133,64.03399658203129,63.492000579834006,65.31900024414061,69.9899978637695,74.46099853515629,79.18499755859379,82.1729965209961,75.8850021362305,64.1660003662109,62.016998291015604,68.11199951171879,64.03900146484379,64.50900268554689,70.3280029296875,74.7509994506836,74.3990020751953
170,New Caledonia,NCL,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,83.1989974975586,81.83599853515629,80.4469985961914,80.875,80.7779998779297,80.8040008544922,80.7509994506836,81.06199645996091,81.4690017700195,81.072998046875,80.4199981689453,80.0759963989258,80.0979995727539,80.1890029907227,81.1859970092773,81.588996887207,81.7949981689453,82.5279998779297,82.6539993286133,82.3949966430664
171,Niger,NER,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,15.9420003890991,15.5240001678467,15.4060001373291,15.03600025177,14.807000160217301,15.0069999694824,15.1579999923706,14.932000160217301,14.96399974823,15.0329999923706,15.045999526977502,15.2089996337891,15.0290002822876,15.1009998321533,15.5100002288818,15.883000373840302,16.3080005645752,16.4589996337891,16.6760005950928,16.8659992218018
172,Nigeria,NGA,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,35.4029998779297,37.292999267578104,39.35499954223629,39.173999786377,36.007999420166,38.9370002746582,46.734001159668,47.6339988708496,49.4070014953613,50.6059989929199,55.310001373290994,58.484001159668,65.6429977416992,63.951999664306605,61.6570014953613,59.443000793457,60.7830009460449,61.4650001525879,61.6349983215332,61.6510009765625
173,Nicaragua,NIC,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,72.6179962158203,72.9520034790039,73.56500244140629,73.5770034790039,73.1669998168945,73.49400329589841,73.18299865722659,72.879997253418,73.8679962158203,72.06300354003909,74.9779968261719,75.7679977416992,75.859001159668,75.2040023803711,75.8160018920898,76.1969985961914,76.5759963989258,76.8789978027344,78.1129989624023,78.3980026245117
174,Netherlands,NLD,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,87.5270004272461,88.0189971923828,88.16100311279301,88.6309967041016,89.0640029907227,89.7360000610352,89.78099822998051,89.3140029907227,89.7529983520508,90.3199996948242,90.8730010986328,91.3000030517578,91.5199966430664,91.94000244140629,91.9540023803711,92.64099884033199,92.6070022583008,92.4459991455078,92.4390029907227,92.4520034790039
175,Norway,NOR,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,87.76000213623051,87.99600219726558,88.31800079345699,88.5960006713867,89.16400146484379,89.12899780273442,89.9209976196289,90.3600006103516,90.59500122070308,90.63400268554692,90.8300018310547,91.7170028686523,91.9540023803711,91.6539993286133,91.6490020751953,91.6790008544922,91.5400009155273,91.8690032958984,92.0790023803711,92.1060028076172
176,Nepal,NPL,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,9.456000328063961,9.592000007629391,10.940999984741199,13.83899974823,13.3680000305176,12.576000213622999,11.6780004501343,10.836000442504899,10.234000205993699,9.5629997253418,9.14500045776367,9.11600017547607,8.94999980926514,8.83800029754639,9.343000411987301,9.706000328063961,10.166999816894501,10.4029998779297,10.4569997787476,10.692999839782699
177,Nauru,NRU,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,
178,New Zealand,NZL,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,81.0039978027344,81.0559997558594,81.8970031738281,81.9489974975586,82.6389999389648,83.4499969482422,83.4300003051758,84.484001159668,84.3539962768555,84.9729995727539,84.8450012207031,85.75599670410159,85.8929977416992,85.9970016479492,86.2870025634766,86.4729995727539,86.4079971313477,85.93199920654301,86.6689987182617,86.4540023803711
179,OECD members,OED,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,77.7259898755927,78.1845299042584,78.93172321105129,79.5196382430612,80.33950008888641,81.10194116013129,81.84118670659458,82.5370262497283,82.9095394638355,83.133392646879,83.7068616147788,84.8270710894291,84.9876682335363,84.91879317826141,85.08273250613979,85.2538651649768,85.315580308437,85.4103243758221,85.6047204961292,85.5826970711083
180,Oman,OMN,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,85.0800018310547,83.58399963378909,80.4789962768555,83.5709991455078,85.693000793457,86.73300170898442,87.96499633789058,89.62899780273442,89.9929962158203,90.87899780273442,91.6989974975586,92.8980026245117,93.69300079345699,93.4329986572266,93.46399688720699,93.3369979858398,93.3769989013672,93.02200317382808,92.8570022583008,92.9219970703125
181,Other small states,OSS,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,49.8388945356295,49.00931483210321,50.176712430989106,52.1289955073609,53.1464700754196,53.51303391449571,54.291183288418104,55.4397321388712,56.7326703044296,58.1955721798209,58.8318415477656,58.9484683102664,59.5171898279574,59.518411224994004,60.079484042470895,60.611940234590996,60.964901173953706,61.363329324728696,62.1200948770776,62.094648578619605
182,Pakistan,PAK,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,20.7900009155273,20.8050003051758,18.1030006408691,18.090000152587898,19.732000350952102,19.8150005340576,17.5319995880127,17.6350002288818,16.031000137329098,14.793999671936,12.66100025177,13.404999732971199,14.4090003967285,14.1180000305176,14.2220001220703,13.71399974823,13.8509998321533,13.421999931335401,12.7819995880127,12.8170003890991
183,Panama,PAN,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,87.49099731445308,87.72899627685551,89.14099884033199,87.6910018920898,87.59400177001949,87.64199829101558,88.1709976196289,86.6230010986328,86.75900268554692,86.9970016479492,86.83599853515629,81.9690017700195,82.79100036621091,83.7740020751953,83.13099670410159,82.1669998168945,81.5989990234375,81.2679977416992,81.00599670410159,81.6179962158203
184,Peru,PER,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,57.9770011901855,58.2080001831055,59.137001037597706,58.4900016784668,59.146999359130895,59.75,59.6829986572266,58.4690017700195,59.957000732421896,62.4189987182617,62.7249984741211,62.9970016479492,63.334999084472706,63.576000213623,63.9650001525879,63.8650016784668,64.0400009155273,63.965999603271506,63.5870018005371,64.6309967041016
185,Philippines,PHL,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,61.266998291015604,60.0890007019043,62.840999603271506,63.0110015869141,63.7239990234375,63.826999664306605,64.7269973754883,64.3119964599609,64.8539962768555,65.66000366210939,66.37899780273439,67.6230010986328,68.3899993896484,68.3980026245117,69.0,69.61199951171879,69.5380020141602,71.0029983520508,72.5989990234375,73.5699996948242
186,Palau,PLW,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,
187,Papua New Guinea,PNG,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,29.9850006103516,28.9939994812012,27.8080005645752,32.0960006713867,35.673000335693395,40.1790008544922,45.645999908447294,50.0670013427734,55.4000015258789,61.308998107910206,66.34500122070311,71.2009963989258,77.1719970703125,78.4530029296875,79.2789993286133,79.7580032348633,80.1330032348633,82.0139999389648,82.0979995727539,82.129997253418
188,Poland,POL,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,60.518001556396506,62.316001892089794,62.784000396728494,62.5009994506836,64.0550003051758,65.19699859619139,65.6539993286133,66.24900054931639,67.5410003662109,68.02200317382811,68.35299682617189,70.0830001831055,71.18699645996091,71.23500061035159,72.1630020141602,72.9250030517578,73.2170028686523,73.13999938964841,73.7070007324219,73.8649978637695
189,Pre-demographic dividend,PRE,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,22.591637490029896,23.132545549627,23.7177590224153,23.887969351271803,23.354837417171996,24.024222368857004,25.926533486316398,26.1311754193716,26.7107764238486,27.677077525240602,28.5514992598203,29.230553066805395,31.2762523661155,31.1439412215549,31.139303910044898,30.793899976089396,31.0831549271978,31.392353791986498,31.4663228773537,31.5843736400113
190,Puerto Rico,PRI,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,85.6549987792969,85.3160018920898,85.1470031738281,85.96499633789058,87.7949981689453,88.3000030517578,89.0070037841797,88.7689971923828,88.4520034790039,89.5139999389648,89.8239974975586,91.10800170898442,91.4929962158203,91.55699920654301,91.6620025634766,91.35900115966801,86.4980010986328,86.2910003662109,86.3889999389648,86.2529983520508
191,"Korea, Dem. People’s Rep.",PRK,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,11.1829996109009,11.388999938964801,11.453000068664599,11.6090002059937,11.9390001296997,12.0530004501343,12.197999954223599,12.3199996948242,12.234999656677198,12.1590003967285,12.055999755859402,12.003999710083,11.91100025177,11.751999855041499,11.826000213622999,11.8649997711182,12.0059995651245,11.932000160217301,11.4910001754761,11.711000442504899
